voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3 ms;97;48271;0;42;7511;33301;6300;1062;48174;4658;3824;39426;1386;6300;1062;48174;792;606;39636;1176;6300;1062;48174;602;448;40056;756;6300;1062;48174;362;272;
2530;3 ms;97;48271;0;40;7659;32246;7152;1117;48174;4976;4084;38585;1320;7152;1117;48174;700;510;38785;1120;7152;1117;48174;476;354;39185;720;7152;1117;48174;342;252;
2560;3 ms;97;48271;0;39;8079;31168;7770;1157;48174;5362;4408;37960;1287;7770;1157;48174;618;476;38155;1092;7770;1157;48174;388;298;38545;702;7770;1157;48174;354;264;
2590;3 ms;97;48271;0;38;8529;30236;8072;1337;48174;5230;4348;37511;1254;8072;1337;48174;732;596;37701;1064;8072;1337;48174;454;370;38081;684;8072;1337;48174;408;324;
2620;3 ms;97;48271;0;36;9046;28354;9908;866;48174;6062;5308;36212;1188;9908;866;48174;496;424;36392;1008;9908;866;48174;426;354;36752;648;9908;866;48174;400;328;
2650;3 ms;97;48271;0;34;9180;27170;10550;1274;48174;5412;4844;35228;1122;10550;1274;48174;958;790;35398;952;10550;1274;48174;740;576;35738;612;10550;1274;48174;486;392;
2680;3 ms;97;48271;0;33;9353;26519;11156;1146;48174;5866;5180;34783;1089;11156;1146;48174;648;582;34948;924;11156;1146;48174;522;456;35278;594;11156;1146;48174;422;356;
2710;3 ms;97;48271;0;32;9928;25908;11588;750;48174;5722;5104;34780;1056;11588;750;48174;472;412;34940;896;11588;750;48174;432;372;35260;576;11588;750;48174;392;332;
2740;3 ms;97;48271;0;31;9892;25184;12356;742;48174;5650;5032;34038;1038;12356;742;48174;464;404;34208;868;12356;742;48174;394;334;34518;558;12356;742;48174;360;300;
2770;3 ms;97;48271;0;30;10005;24041;13249;879;48174;5250;4632;33056;990;13249;879;48174;448;388;33206;840;13249;879;48174;378;318;33506;540;13249;879;48174;344;284;
2800;3 ms;97;48271;0;29;10127;23330;13400;1317;48174;4766;4148;32500;957;13400;1317;48174;304;244;32645;812;13400;1317;48174;304;244;32935;522;13400;1317;48174;304;244;
2830;3 ms;97;48271;0;28;10350;22532;13950;1342;48174;3874;3256;31958;924;13950;1342;48174;526;466;32098;784;13950;1342;48174;294;234;32378;504;13950;1342;48174;261;201;
2860;3 ms;97;48271;0;27;10409;21790;14170;1805;48174;3214;2596;31308;891;14170;1805;48174;274;214;31443;756;14170;1805;48174;318;258;31713;486;14170;1805;48174;272;212;
2890;3 ms;97;48271;0;27;11155;21401;14464;1154;48174;2744;2256;31665;891;14464;1154;48174;248;194;31800;756;14464;1154;48174;320;238;32070;486;14464;1154;48174;268;192;
2920;3 ms;97;48271;0;27;11197;20997;14848;1132;48174;2792;2308;31336;858;14848;1132;48174;462;356;31466;728;14848;1132;48174;232;178;31726;468;14848;1132;48174;217;145;
Fixed time simulation end ########################################
